timestamp,label,confidence
2026-08-01T19:14:57,good,0.598
2026-08-01T19:31:32,good,0.157
2026-08-02T11:54:43,spoiled,0.227,,-,ai
2026-08-02T11:54:43,good,0.157,,-,ai
2026-08-02T11:54:54,good,0.130,,-,ai
2026-08-02T11:54:56,good,0.186,,-,ai
2026-08-02T11:55:10,good,0.305,,-,ai
2026-08-02T11:55:12,spoiled,0.285,,-,ai
2026-08-02T21:12:39,good,0.662,,-,ai
2026-08-02T21:12:58,good,0.725,,-,ai
2026-08-02T21:14:04,good,0.758,,-,ai
2026-08-02T21:14:04,good,0.802,,-,ai
2026-08-02T21:14:14,good,0.690,,-,ai
2026-08-03T12:36:16,good,0.604,,-,ai
2026-08-03T12:38:35,good,0.696,,-,ai
2026-08-03T12:38:37,good,0.685,,-,ai
2026-08-03T12:38:44,good,0.737,,-,ai
2026-08-03T12:39:13,good,0.615,,-,ai
2026-08-03T12:39:15,good,0.610,,-,ai
2026-08-03T12:39:37,good,0.844,,-,ai
2026-08-03T12:39:38,good,0.718,,-,ai
2026-08-03T12:41:27,good,0.838,,-,ai
2026-08-03T12:41:50,good,0.754,,-,ai
2026-08-03T12:42:14,good,0.689,,-,ai
2026-08-03T12:42:15,good,0.646,,-,ai
2026-08-03T12:42:15,good,0.658,,-,ai
2026-08-03T12:42:15,good,0.678,,-,ai
2026-08-03T12:42:15,good,0.622,,-,ai
2026-08-03T12:42:18,good,0.582,,-,ai
2026-08-03T12:42:19,good,0.642,,-,ai
2026-08-03T12:42:19,good,0.581,,-,ai
2026-08-03T12:42:19,good,0.590,,-,ai
2026-08-03T12:42:20,good,0.575,,-,ai
2026-08-03T12:42:20,good,0.544,,-,ai
2026-08-03T12:42:20,good,0.651,,-,ai
2026-08-03T13:45:04,good,0.837,,-,ai
2026-08-03T21:34:55,good,0.896,,-,ai
2026-08-03T22:23:39,good,0.803,,-,ai
2026-08-03T22:24:59,good,0.878,,-,ai
2026-08-04T07:38:32,good,0.950,,-,ai
2026-08-05T15:15:03,good,0.000,,-,ai
2026-08-06T15:31:33,good,0.739,,-,ai
